epoch,avg_reward,skill_max,enc_acc,skill_kl,pi_kl
-1,0.0,1.0,0.25,,
0,0.48448446724149913,1.0,0.25,0.0,5.522752921649499e-09
1,0.7126528415523591,1.0,0.25,0.0,5.439711792121216e-09
2,0.715968114573781,1.0,0.25,0.0,6.0410112467934596e-09
3,0.5397134319458444,1.0,0.25,0.0,4.200978231949648e-09
4,0.4446855816343566,1.0,0.25,0.0,2.1942203609626176e-09
5,0.49775731622264313,1.0,0.25,0.0,6.5075207444920125e-09
6,0.47500750994406477,1.0,0.25,0.0,5.175863293516159e-09
7,0.514198902018985,1.0,0.25,0.0,5.612744491401145e-09
8,0.45348762400721837,1.0,0.25,0.0,4.272844744690474e-09
9,0.47443357423559496,1.0,0.25,0.0,3.0164613029626253e-09
10,0.4197823827355696,1.0,0.25,0.0,4.021392996378381e-09
11,0.4162824984196603,1.0,0.25,0.0,7.650717392948536e-09
12,0.5805904248431741,1.0,0.25,0.0,6.958265519330098e-09
13,0.9223526465729801,1.0,0.25,0.0,6.159261545235495e-09
14,0.7612409021616436,1.0,0.25,0.0,3.484636357242721e-09
15,0.6416434401998665,0.9999999403953552,0.25,-5.960463766996327e-08,5.270524905398588e-09
16,0.702833341713723,0.9999999403953552,0.25,-5.960463766996327e-08,4.223491334442997e-09
17,0.9054433296859647,0.9999999403953552,0.25,-5.960463766996327e-08,2.2864408144585013e-09
18,1.0283829350729827,1.0,0.25,0.0,3.3648748232195658e-09
19,0.971457103501272,0.9999999403953552,0.25,-5.960463766996327e-08,2.3185489084198707e-09
20,1.0621358161599195,1.0,0.25,0.0,2.713591129577253e-09
21,1.7227985426526133,1.0,0.25,0.0,2.964538392546956e-09
22,1.7022862355263202,1.0,0.25,0.0,1.4082213173338687e-10
23,1.81812130292878,1.0,0.25,0.0,3.3183720216101165e-09
24,1.506607342744217,1.0,0.25,0.0,2.7221493947848785e-09
25,2.0021293529200928,1.0,0.25,0.0,7.665788837041276e-11
26,1.8498028524842245,1.0,0.25,0.0,1.7824209885830555e-09
27,2.3744695864921215,1.0,0.25,0.0,5.233174449337241e-10
28,2.7649548871998717,1.0,0.25,0.0,-7.469254104108813e-10
29,2.948767280905985,1.0,0.25,0.0,2.502608342780377e-09
30,3.0087384246364692,1.0,0.25,0.0,9.533112077519945e-10
31,3.00455850968485,1.0,0.25,0.0,0.0
32,2.9143192058920597,1.0,0.25,0.0,0.0
33,2.8675421178218556,1.0,0.25,0.0,3.7767919347508894e-10
34,2.6768666663129648,1.0,0.25,0.0,1.8463539031010612e-10
35,2.4610570566490195,1.0,0.25,0.0,0.0
36,2.3617525718541694,1.0,0.25,0.0,0.0
37,2.2553299049225455,1.0,0.25,0.0,0.0
38,2.2250851467163186,1.0,0.25,0.0,0.0
39,2.105858909676459,1.0,0.25,0.0,-4.3317328890513096e-11
40,2.332905047274183,1.0,0.25,0.0,1.0674184626469074e-11
41,2.1247163414363444,1.0,0.25,0.0,2.2223953580202682e-11
42,2.3772231250184395,1.0,0.25,0.0,-4.6566129424663316e-11
43,2.4038774583685045,1.0,0.25,0.0,4.010227427908575e-10
44,2.5115325939969018,1.0,0.25,0.0,1.6898223931249845e-09
45,2.1015029843782425,1.0,0.25,0.0,1.4890674249201652e-09
46,2.363395117540763,1.0,0.25,0.0,7.184074446442423e-10
47,2.428247005667629,0.9999999403953552,0.25,-5.960463766996327e-08,5.547147186035772e-10
48,2.192493245633895,1.0,0.25,0.0,0.0
49,2.587230362000559,1.0,0.25,0.0,0.0
