epoch,avg_reward,skill_acc
-1,1.7062500000000003,0.25
0,1.7812500000000004,tensor(0.2407)
1,1.7625000000000004,tensor(0.3039)
2,1.7437500000000001,tensor(0.2692)
3,1.5937500000000002,tensor(0.3188)
4,1.6812500000000004,tensor(0.2969)
5,1.7125000000000004,tensor(0.3086)
6,1.8750000000000002,tensor(0.3086)
7,2.8874999999999993,tensor(0.3438)
8,2.2875000000000005,tensor(0.3047)
9,2.4937500000000004,tensor(0.3594)
10,3.881249999999998,tensor(0.3594)
11,4.381249999999998,tensor(0.3594)
12,4.449999999999998,tensor(0.3398)
13,4.237499999999998,tensor(0.4258)
14,3.843749999999999,tensor(0.4609)
15,4.5375,tensor(0.5391)
16,3.5124999999999993,tensor(0.5586)
17,3.318749999999999,tensor(0.5234)
18,2.5312500000000004,tensor(0.5234)
19,2.750000000000001,tensor(0.5703)
20,2.818750000000001,tensor(0.6562)
21,4.081249999999999,tensor(0.7500)
22,4.474999999999998,tensor(0.8281)
23,3.575,tensor(0.8828)
24,4.362499999999999,tensor(0.9609)
25,6.918749999999992,tensor(0.9570)
26,4.899999999999997,tensor(0.9688)
27,6.881249999999991,tensor(0.9805)
28,7.724999999999988,tensor(1.)
29,8.031249999999988,tensor(0.9922)
30,8.806249999999991,tensor(0.9883)
31,9.774999999999988,tensor(1.)
32,12.187499999999984,tensor(0.9961)
33,15.406249999999991,tensor(0.9961)
34,10.43124999999998,tensor(0.9961)
35,19.800000000000065,tensor(1.)
36,23.000000000000096,tensor(1.)
37,30.862500000000068,tensor(0.9805)
38,2.6937500000000005,tensor(0.9922)
39,7.9249999999999865,tensor(0.9883)
40,13.031249999999986,tensor(0.9961)
41,11.812500000000005,tensor(0.9766)
42,13.856250000000005,tensor(1.)
43,16.53125000000002,tensor(1.)
44,25.568750000000122,tensor(0.9961)
45,12.518749999999988,tensor(1.)
46,17.53125000000001,tensor(1.)
47,46.11875000000012,tensor(1.)
48,10.899999999999977,tensor(0.9805)
49,3.3625,tensor(0.9844)
50,11.731249999999996,tensor(1.)
51,20.29375000000003,tensor(1.)
52,30.062500000000032,tensor(0.9961)
53,28.350000000000087,tensor(0.9961)
54,20.143750000000026,tensor(1.)
55,47.649999999999906,tensor(1.)
56,15.843749999999986,tensor(1.)
57,12.818749999999978,tensor(0.9961)
