epoch,avg_reward,skill_max,enc_acc,skill_kl,pi_acc,pi_kl
-1,-3.3375251208252705,1.0,0.25,,1.0,
0,-4.227415845095237,1.0,0.2552083432674408,0.0,1.0,-1.3156936651270712e-09
1,-3.448719294546868,1.0,0.24609375,0.0,1.0,4.456549851372671e-10
2,-1.7292969063049677,1.0,0.26953125,0.0,1.0,1.7224208170851796e-10
3,-2.417658741647019,1.0,0.1953125,0.0,1.0,1.153156459210436e-09
4,-3.0566811566127647,1.0,0.3046875,0.0,1.0,1.2403520432968662e-09
5,-2.9333691743955472,1.0,0.26171875,0.0,1.0,-1.1091468854473874e-09
6,-2.078002669767595,1.0,0.21875,0.0,1.0,7.649946648369266e-11
7,-2.1957729782085758,1.0,0.234375,0.0,1.0,-2.0065411832081992e-10
8,-1.4893582593501173,1.0,0.19921875,0.0,1.0,-1.0881878731439087e-09
9,-2.869028453681953,1.0,0.234375,0.0,1.0,-9.200709638612636e-10
10,-2.3886248354057456,1.0,0.2265625,0.0,1.0,-5.492588606159643e-10
11,-0.09374056047921277,1.0,0.24609375,0.0,1.0,-9.274062628961133e-10
12,1.343247998379064,1.0,0.2734375,0.0,1.0,-5.5798723280764406e-11
13,1.5117376743639743,1.0,0.25390625,0.0,1.0,-8.996427057093512e-14
14,1.5738837985081144,1.0,0.22265625,0.0,1.0,1.4412088059426176e-12
15,1.2597279832608044,1.0,0.25390625,0.0,1.0,-1.3164697322018724e-18
16,1.5891571615333715,1.0,0.23828125,0.0,1.0,-3.632858553911933e-12
17,1.265533616611095,1.0,0.2578125,0.0,1.0,0.0
18,1.3732040626536408,1.0,0.27734375,0.0,1.0,-7.955363798273218e-13
19,0.6894261674762334,1.0,0.25390625,0.0,1.0,-5.751620696641674e-14
20,1.3735705373037665,1.0,0.26953125,0.0,1.0,2.545068919068e-13
21,1.6753409793647718,1.0,0.296875,0.0,1.0,1.9315286674780052e-13
22,1.1015378073963291,1.0,0.2578125,0.0,1.0,2.645330514968597e-13
23,1.4167314171421899,1.0,0.26953125,0.0,1.0,1.1090178254902217e-12
24,1.668014509285321,1.0,0.23828125,0.0,1.0,0.0
25,1.8516251969112423,1.0,0.28125,0.0,1.0,0.0
26,1.5026325030141015,1.0,0.30859375,0.0,1.0,-4.978622548945655e-12
27,1.2161788636190838,1.0,0.21875,0.0,1.0,-4.4292030980386254e-12
28,2.305565455963371,1.0,0.2890625,0.0,1.0,5.1302581974277395e-12
29,2.5923684428796148,1.0,0.234375,0.0,1.0,0.0
30,5.201142327901982,1.0,0.2265625,0.0,1.0,-9.548758056701786e-16
31,7.3890953658122775,1.0,0.25,0.0,1.0,0.0
32,7.6427723255893865,1.0,0.2578125,0.0,1.0,-2.672817696336427e-11
33,7.357636313636277,1.0,0.27734375,0.0,1.0,6.480956743493138e-11
34,-1.3303789000546251,1.0,0.30859375,0.0,1.0,-1.489669672338767e-11
35,7.580066716448411,1.0,0.265625,0.0,1.0,-1.0724263838080006e-10
36,7.046403486812403,1.0,0.28125,0.0,1.0,-2.887664551920466e-10
37,6.774614533738929,1.0,0.25390625,0.0,1.0,-1.3575075785698942e-10
38,6.5410043070250685,1.0,0.25390625,0.0,1.0,-1.841735314603299e-12
39,6.346152668717003,1.0,0.234375,0.0,1.0,1.8234848353504418e-10
40,6.9507015661373615,1.0,0.2265625,0.0,1.0,2.594738139627406e-11
41,6.655104472854791,1.0,0.24609375,0.0,1.0,-1.81898482387588e-10
42,6.9569085580061625,1.0,0.26953125,0.0,1.0,-8.402774309690386e-11
43,7.391354410863566,1.0,0.24609375,0.0,1.0,1.5316206636306617e-11
44,7.5379964235268515,1.0,0.2578125,0.0,1.0,2.6272338471411416e-11
45,7.533080339588196,1.0,0.30859375,0.0,1.0,1.1528092369594845e-10
46,7.380157473054299,1.0,0.23046875,0.0,1.0,8.162802031530525e-12
47,7.332882508708743,1.0,0.25,0.0,1.0,1.4567872949622362e-11
48,7.722407348357187,1.0,0.23828125,0.0,1.0,-3.2410529121618126e-11
49,7.750412283231498,1.0,0.21484375,0.0,1.0,3.041877513765279e-11
